,full_name,gender,category,birth_year,winner_age,birth_country,award_year
880,Sune K. Bergström,male,Physiology or Medicine,1916.0,66.0,Sweden,1982
881,Susumu Tonegawa,male,Physiology or Medicine,1939.0,48.0,Japan,1987
882,Svante August Arrhenius,male,Chemistry,1859.0,44.0,Sweden,1903
883,Svante Pääbo,male,Physiology or Medicine,1955.0,67.0,Sweden,2022
884,Svetlana Alexievich,female,Literature,1948.0,67.0,Ukraine,2015
885,Sydney Brenner,male,Physiology or Medicine,1927.0,75.0,South Africa,2002
886,Syukuro Manabe,male,Physics,1931.0,90.0,Japan,2021
887,Thomas Stearns Eliot,male,Literature,1888.0,60.0,USA,1948
888,Tadeus Reichstein,male,Physiology or Medicine,1897.0,53.0,Poland,1950
889,Takaaki Kajita,male,Physics,1959.0,56.0,Japan,2015
890,Tasuku Honjo,male,Physiology or Medicine,1942.0,76.0,Japan,2018
891,Tawakkol Karman,female,Peace,1979.0,32.0,Yemen,2011
892,The 14th Dalai Lama (Tenzin Gyatso),male,Peace,1935.0,54.0,China,1989
893,The (Theodor) Svedberg,male,Chemistry,1884.0,42.0,Sweden,1926
894,Emil Theodor Kocher,male,Physiology or Medicine,1841.0,68.0,Switzerland,1909
895,Christian Matthias Theodor Mommsen,male,Literature,1817.0,85.0,Germany,1902
896,Theodor W. Hänsch,male,Physics,1941.0,64.0,Germany,2005
897,Theodore Roosevelt Jr.,male,Peace,1858.0,48.0,USA,1906
898,Theodore William Richards,male,Chemistry,1868.0,46.0,USA,1914
899,Theodore W. Schultz,male,Economic Sciences,1902.0,77.0,USA,1979
900,Thomas A. Steitz,male,Chemistry,1940.0,69.0,USA,2009
901,Thomas C. Schelling,male,Economic Sciences,1921.0,84.0,USA,2005
902,Thomas C. Südhof,male,Physiology or Medicine,1955.0,58.0,Germany,2013
903,Thomas Hunt Morgan,male,Physiology or Medicine,1866.0,67.0,USA,1933
904,Thomas Huckle Weller,male,Physiology or Medicine,1915.0,39.0,USA,1954
905,Thomas J. Sargent,male,Economic Sciences,1943.0,68.0,USA,2011
906,Thomas Mann,male,Literature,1875.0,54.0,Germany,1929
907,Thomas R. Cech,male,Chemistry,1947.0,42.0,USA,1989
908,Tim Hunt,male,Physiology or Medicine,1943.0,58.0,United Kingdom,2001
909,Tjalling C. Koopmans,male,Economic Sciences,1910.0,65.0,the Netherlands,1975
910,Tobias Michael Carel Asser,male,Peace,1838.0,73.0,the Netherlands,1911
911,Tomas Lindahl,male,Chemistry,1938.0,77.0,Sweden,2015
912,Tomas Tranströmer,male,Literature,1931.0,80.0,Sweden,2011
913,Toni Morrison,female,Literature,1931.0,62.0,USA,1993
914,Torsten N. Wiesel,male,Physiology or Medicine,1924.0,57.0,Sweden,1981
915,Toshihide Maskawa,male,Physics,1940.0,68.0,Japan,2008
916,Trygve Haavelmo,male,Economic Sciences,1911.0,78.0,Norway,1989
917,Tsung-Dao (T.D.) Lee,male,Physics,1926.0,31.0,China,1957
918,Tu Youyou,female,Physiology or Medicine,1930.0,85.0,China,2015
919,Ulf von Euler,male,Physiology or Medicine,1905.0,65.0,Sweden,1970
923,Sir Vidiadhar Surajprasad Naipaul,male,Literature,1932.0,69.0,Trinidad and Tobago,2001
924,Val Logsdon Fitch,male,Physics,1923.0,57.0,USA,1980
